copy,copy,copy,copy,,,
3811.3,trial-8-aspirate-50.0-ul-channel_1,50.8,,,,
3811.4,trial-8-dispense-50.0-ul-channel_1,50.69,,,,
3811.4,trial-8-liquid_height-50.0-ul-channel_1,20.24,,,,
3951.8,trial-9-aspirate-50.0-ul-channel_1,50.71,,,,
3951.9,trial-9-dispense-50.0-ul-channel_1,50.73,,,,
3952,trial-9-liquid_height-50.0-ul-channel_1,20.24,,,,
4243,trial-1-aspirate-200.0-ul-channel_1,200.17,,,,
4243.1,trial-1-dispense-200.0-ul-channel_1,200.12,,,,
4243.2,trial-1-liquid_height-200.0-ul-channel_1,20.3,,,,
4385.7,trial-2-aspirate-200.0-ul-channel_1,200.41,,,,
4385.8,trial-2-dispense-200.0-ul-channel_1,200.17,,,,
4385.8,trial-2-liquid_height-200.0-ul-channel_1,20.3,,,,
4521.9,trial-3-aspirate-200.0-ul-channel_1,200.42,,,,
4521.9,trial-3-dispense-200.0-ul-channel_1,200.31,,,,
4522,trial-3-liquid_height-200.0-ul-channel_1,20.3,,,,
4664.6,trial-4-aspirate-200.0-ul-channel_1,200.51,,,,
4664.7,trial-4-dispense-200.0-ul-channel_1,200.29,,,,
4664.8,trial-4-liquid_height-200.0-ul-channel_1,20.3,,,,
4803.9,trial-5-aspirate-200.0-ul-channel_1,200.34,,,,
4804,trial-5-dispense-200.0-ul-channel_1,200.24,,,,
4804.1,trial-5-liquid_height-200.0-ul-channel_1,20.3,,,,
4941.8,trial-6-aspirate-200.0-ul-channel_1,200.38,,,,
4941.8,trial-6-dispense-200.0-ul-channel_1,200.22,,,,
4941.9,trial-6-liquid_height-200.0-ul-channel_1,20.29,,,,
5087.2,trial-7-aspirate-200.0-ul-channel_1,200.42,,,,
5087.3,trial-7-dispense-200.0-ul-channel_1,200.29,,,,
5087.4,trial-7-liquid_height-200.0-ul-channel_1,20.29,,,,
5231.5,trial-8-aspirate-200.0-ul-channel_1,200.36,,,,
5231.5,trial-8-dispense-200.0-ul-channel_1,200.22,,,,
5231.6,trial-8-liquid_height-200.0-ul-channel_1,20.29,,,,
5373.7,trial-9-aspirate-200.0-ul-channel_1,200.47,,,,
5373.8,trial-9-dispense-200.0-ul-channel_1,200.36,,,,
5373.8,trial-9-liquid_height-200.0-ul-channel_1,20.29,,,,
1601.9,TRIALS_END,,,,,
1376.3,_________________,,,,,
1376.3,EVAPORATION_START,,,,,
1376.3,aspirate-average-ul,8.31,,,,
1376.3,dispense-average-ul,2.97,,,,
1376.3,EVAPORATION_END,,,,,
5346.8,_________________,,,,,
5346.8,ENVIRONMENT_START,,,,,
5346.8,EnvironmentReportState.FIRST-celsius-pipette,-45,,,,
5346.8,EnvironmentReportState.FIRST-humidity-pipette,39.95,,,,
5346.9,EnvironmentReportState.FIRST-celsius-air,21.2,,,,
5347,EnvironmentReportState.FIRST-humidity-air,50.7,,,,
5347.1,EnvironmentReportState.FIRST-pascals-air,1000,,,,
5347.2,EnvironmentReportState.FIRST-celsius-liquid,25,,,,
5347.3,EnvironmentReportState.LAST-celsius-pipette,27.26,,,,
5347.3,EnvironmentReportState.LAST-humidity-pipette,37.93,,,,
5347.4,EnvironmentReportState.LAST-celsius-air,21.5,,,,
5347.5,EnvironmentReportState.LAST-humidity-air,48.1,,,,
5347.5,EnvironmentReportState.LAST-pascals-air,1000,,,,
5347.6,EnvironmentReportState.LAST-celsius-liquid,25,,,,
5347.7,EnvironmentReportState.MIN-celsius-pipette,-45,,,,
5347.7,EnvironmentReportState.MIN-humidity-pipette,37.86,,,,
5347.8,EnvironmentReportState.MIN-celsius-air,21.1,,,,
5347.9,EnvironmentReportState.MIN-humidity-air,48.1,,,,
5348,EnvironmentReportState.MIN-pascals-air,1000,,,,
5348,EnvironmentReportState.MIN-celsius-liquid,25,,,,
5348.1,EnvironmentReportState.MAX-celsius-pipette,27.28,,,,
5348.2,EnvironmentReportState.MAX-humidity-pipette,40.95,,,,
5348.2,EnvironmentReportState.MAX-celsius-air,21.5,,,,
5348.3,EnvironmentReportState.MAX-humidity-air,51.8,,,,
5348.4,EnvironmentReportState.MAX-pascals-air,1000,,,,
5348.5,EnvironmentReportState.MAX-celsius-liquid,25,,,,
5346.8,ENVIRONMENT_END,,,,,
313.8,__________________,,,,,
313.8,MEASUREMENTS_START,,,,,
313.8,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-pipette,-45,,,,
313.9,MeasurementType.INIT-blank-ul-channel_1-trial-1-humidity-pipette,39.95,,,,
313.9,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-air,21.2,,,,
314,MeasurementType.INIT-blank-ul-channel_1-trial-1-humidity-air,50.7,,,,
314,MeasurementType.INIT-blank-ul-channel_1-trial-1-pascals-air,1000,,,,
314,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-liquid,25,,,,
314.1,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-average,201.07,,,,
314.1,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-cv,0,,,,
314.2,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-min,201.07,,,,
314.2,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-max,201.07,,,,
314.3,MeasurementType.INIT-blank-ul-channel_1-trial-1-samples-start-time,1782307607,,,,
314.3,MeasurementType.INIT-blank-ul-channel_1-trial-1-samples-duration,9.82,,,,
314.4,MeasurementType.INIT-blank-ul-channel_1-trial-1-samples-count,50,,,,
342.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-celsius-pipette,26.79,,,,
342.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-humidity-pipette,39.85,,,,
342.2,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-celsius-air,21.2,,,,
342.2,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-humidity-air,50.5,,,,
342.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-pascals-air,1000,,,,
342.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-celsius-liquid,25,,,,
342.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-grams-average,201.06,,,,
342.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-grams-cv,0,,,,
342.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-grams-min,201.06,,,,
342.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-grams-max,201.06,,,,
342.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-samples-start-time,1782307635,,,,
342.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-samples-duration,9.8,,,,
342.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-1-samples-count,50,,,,
369.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-celsius-pipette,26.77,,,,
369.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-humidity-pipette,39.69,,,,
369.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-celsius-air,21.1,,,,
369.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-humidity-air,50.3,,,,
369.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-pascals-air,1000,,,,
369.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-celsius-liquid,25,,,,
369.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-grams-average,201.05,,,,
369.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-grams-cv,0,,,,
369.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-grams-min,201.05,,,,
369.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-grams-max,201.05,,,,
370,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-samples-start-time,1782307662,,,,
370.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-samples-duration,9.8,,,,
370.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-1-samples-count,50,,,,
425.1,MeasurementType.INIT-blank-ul-channel_1-trial-2-celsius-pipette,26.77,,,,
425.1,MeasurementType.INIT-blank-ul-channel_1-trial-2-humidity-pipette,39.26,,,,
425.2,MeasurementType.INIT-blank-ul-channel_1-trial-2-celsius-air,21.2,,,,
425.2,MeasurementType.INIT-blank-ul-channel_1-trial-2-humidity-air,50,,,,
425.3,MeasurementType.INIT-blank-ul-channel_1-trial-2-pascals-air,1000,,,,
425.3,MeasurementType.INIT-blank-ul-channel_1-trial-2-celsius-liquid,25,,,,
425.4,MeasurementType.INIT-blank-ul-channel_1-trial-2-grams-average,201.05,,,,
425.4,MeasurementType.INIT-blank-ul-channel_1-trial-2-grams-cv,0,,,,
425.5,MeasurementType.INIT-blank-ul-channel_1-trial-2-grams-min,201.05,,,,
425.5,MeasurementType.INIT-blank-ul-channel_1-trial-2-grams-max,201.05,,,,
425.6,MeasurementType.INIT-blank-ul-channel_1-trial-2-samples-start-time,1782307718,,,,
425.6,MeasurementType.INIT-blank-ul-channel_1-trial-2-samples-duration,9.79,,,,
425.7,MeasurementType.INIT-blank-ul-channel_1-trial-2-samples-count,50,,,,
453.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-celsius-pipette,26.75,,,,
453.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-humidity-pipette,39.27,,,,
453.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-celsius-air,21.1,,,,
453.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-humidity-air,49.9,,,,
453.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-pascals-air,1000,,,,
453.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-celsius-liquid,25,,,,
453.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-grams-average,201.05,,,,
453.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-grams-cv,0,,,,
453.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-grams-min,201.05,,,,
453.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-grams-max,201.05,,,,
453.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-samples-start-time,1782307746,,,,
453.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-samples-duration,9.79,,,,
454,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-2-samples-count,50,,,,
480.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-celsius-pipette,26.77,,,,
480.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-humidity-pipette,39.13,,,,
480.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-celsius-air,21.2,,,,
481,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-humidity-air,49.7,,,,
481.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-pascals-air,1000,,,,
481.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-celsius-liquid,25,,,,
481.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-grams-average,201.04,,,,
481.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-grams-cv,0,,,,
481.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-grams-min,201.04,,,,
481.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-grams-max,201.04,,,,
481.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-samples-start-time,1782307774,,,,
481.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-samples-duration,9.8,,,,
481.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-2-samples-count,50,,,,
536.5,MeasurementType.INIT-blank-ul-channel_1-trial-3-celsius-pipette,26.79,,,,
536.6,MeasurementType.INIT-blank-ul-channel_1-trial-3-humidity-pipette,38.86,,,,
536.7,MeasurementType.INIT-blank-ul-channel_1-trial-3-celsius-air,21.1,,,,
536.8,MeasurementType.INIT-blank-ul-channel_1-trial-3-humidity-air,49.5,,,,
536.8,MeasurementType.INIT-blank-ul-channel_1-trial-3-pascals-air,1000,,,,
536.9,MeasurementType.INIT-blank-ul-channel_1-trial-3-celsius-liquid,25,,,,
536.9,MeasurementType.INIT-blank-ul-channel_1-trial-3-grams-average,201.04,,,,
537,MeasurementType.INIT-blank-ul-channel_1-trial-3-grams-cv,0,,,,
537,MeasurementType.INIT-blank-ul-channel_1-trial-3-grams-min,201.04,,,,
537.1,MeasurementType.INIT-blank-ul-channel_1-trial-3-grams-max,201.04,,,,
537.1,MeasurementType.INIT-blank-ul-channel_1-trial-3-samples-start-time,1782307829,,,,
537.2,MeasurementType.INIT-blank-ul-channel_1-trial-3-samples-duration,9.79,,,,
537.2,MeasurementType.INIT-blank-ul-channel_1-trial-3-samples-count,50,,,,
564.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-celsius-pipette,26.77,,,,
564.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-humidity-pipette,38.81,,,,
565.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-celsius-air,21.1,,,,
565.3,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-humidity-air,49.3,,,,
565.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-pascals-air,1000,,,,
565.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-celsius-liquid,25,,,,
565.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-grams-average,201.04,,,,
565.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-grams-cv,0,,,,
565.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-grams-min,201.04,,,,
565.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-grams-max,201.04,,,,
565.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-samples-start-time,1782307858,,,,
565.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-samples-duration,9.95,,,,
565.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-3-samples-count,51,,,,
592.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-celsius-pipette,26.77,,,,
592.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-humidity-pipette,38.73,,,,
592.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-celsius-air,21.1,,,,
592.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-humidity-air,49.1,,,,
592.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-pascals-air,1000,,,,
592.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-celsius-liquid,25,,,,
592.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-grams-average,201.03,,,,
592.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-grams-cv,0,,,,
592.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-grams-min,201.03,,,,
592.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-grams-max,201.03,,,,
593,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-samples-start-time,1782307885,,,,
593,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-samples-duration,9.78,,,,
593.1,MeasurementType.DISPENSE-blank-ul-channel_1-trial-3-samples-count,50,,,,
647.8,MeasurementType.INIT-blank-ul-channel_1-trial-4-celsius-pipette,26.77,,,,
647.8,MeasurementType.INIT-blank-ul-channel_1-trial-4-humidity-pipette,38.55,,,,
647.9,MeasurementType.INIT-blank-ul-channel_1-trial-4-celsius-air,21.1,,,,
647.9,MeasurementType.INIT-blank-ul-channel_1-trial-4-humidity-air,49,,,,
648,MeasurementType.INIT-blank-ul-channel_1-trial-4-pascals-air,1000,,,,
648,MeasurementType.INIT-blank-ul-channel_1-trial-4-celsius-liquid,25,,,,
648.1,MeasurementType.INIT-blank-ul-channel_1-trial-4-grams-average,201.03,,,,
648.2,MeasurementType.INIT-blank-ul-channel_1-trial-4-grams-cv,0,,,,
648.3,MeasurementType.INIT-blank-ul-channel_1-trial-4-grams-min,201.03,,,,
648.3,MeasurementType.INIT-blank-ul-channel_1-trial-4-grams-max,201.03,,,,
648.4,MeasurementType.INIT-blank-ul-channel_1-trial-4-samples-start-time,1782307941,,,,
648.4,MeasurementType.INIT-blank-ul-channel_1-trial-4-samples-duration,9.8,,,,
648.5,MeasurementType.INIT-blank-ul-channel_1-trial-4-samples-count,50,,,,
676.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-celsius-pipette,26.77,,,,
676.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-humidity-pipette,38.83,,,,
676.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-celsius-air,21.1,,,,
676.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-humidity-air,49.2,,,,
676.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-pascals-air,1000,,,,
676.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-celsius-liquid,25,,,,
676.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-grams-average,201.02,,,,
676.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-grams-cv,0,,,,
677,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-grams-min,201.02,,,,
677,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-grams-max,201.02,,,,
677.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-samples-start-time,1782307969,,,,
677.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-samples-duration,9.76,,,,
677.2,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-4-samples-count,50,,,,
703.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-celsius-pipette,26.77,,,,
703.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-humidity-pipette,39.69,,,,
703.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-celsius-air,21.1,,,,
704,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-humidity-air,49.8,,,,
704.1,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-pascals-air,1000,,,,
704.1,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-celsius-liquid,25,,,,
704.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-grams-average,201.02,,,,
704.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-grams-cv,0,,,,
704.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-grams-min,201.02,,,,
704.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-grams-max,201.02,,,,
704.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-samples-start-time,1782307997,,,,
704.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-samples-duration,9.8,,,,
704.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-4-samples-count,50,,,,
759.7,MeasurementType.INIT-blank-ul-channel_1-trial-5-celsius-pipette,26.77,,,,
759.8,MeasurementType.INIT-blank-ul-channel_1-trial-5-humidity-pipette,40.02,,,,
760.2,MeasurementType.INIT-blank-ul-channel_1-trial-5-celsius-air,21.1,,,,
760.3,MeasurementType.INIT-blank-ul-channel_1-trial-5-humidity-air,51,,,,
760.4,MeasurementType.INIT-blank-ul-channel_1-trial-5-pascals-air,1000,,,,
760.4,MeasurementType.INIT-blank-ul-channel_1-trial-5-celsius-liquid,25,,,,
760.5,MeasurementType.INIT-blank-ul-channel_1-trial-5-grams-average,201.02,,,,
760.5,MeasurementType.INIT-blank-ul-channel_1-trial-5-grams-cv,0,,,,
760.6,MeasurementType.INIT-blank-ul-channel_1-trial-5-grams-min,201.02,,,,
760.6,MeasurementType.INIT-blank-ul-channel_1-trial-5-grams-max,201.02,,,,
760.7,MeasurementType.INIT-blank-ul-channel_1-trial-5-samples-start-time,1782308053,,,,
760.7,MeasurementType.INIT-blank-ul-channel_1-trial-5-samples-duration,9.79,,,,
760.8,MeasurementType.INIT-blank-ul-channel_1-trial-5-samples-count,50,,,,
788.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-celsius-pipette,26.79,,,,
788.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-humidity-pipette,40.19,,,,
788.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-celsius-air,21.2,,,,
788.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-humidity-air,51.2,,,,
788.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-pascals-air,1000,,,,
788.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-celsius-liquid,25,,,,
788.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-grams-average,201.01,,,,
788.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-grams-cv,0,,,,
788.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-grams-min,201.01,,,,
788.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-grams-max,201.01,,,,
789,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-samples-start-time,1782308081,,,,
789,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-samples-duration,9.8,,,,
789.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-5-samples-count,50,,,,
815.6,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-celsius-pipette,26.81,,,,
815.7,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-humidity-pipette,40.23,,,,
815.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-celsius-air,21.2,,,,
815.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-humidity-air,51.3,,,,
815.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-pascals-air,1000,,,,
815.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-celsius-liquid,25,,,,
816,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-grams-average,201.01,,,,
816,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-grams-cv,0,,,,
816.1,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-grams-min,201.01,,,,
816.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-grams-max,201.01,,,,
816.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-samples-start-time,1782308108,,,,
816.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-samples-duration,9.81,,,,
816.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-5-samples-count,50,,,,
871,MeasurementType.INIT-blank-ul-channel_1-trial-6-celsius-pipette,26.79,,,,
871.1,MeasurementType.INIT-blank-ul-channel_1-trial-6-humidity-pipette,40.11,,,,
871.2,MeasurementType.INIT-blank-ul-channel_1-trial-6-celsius-air,21.2,,,,
871.2,MeasurementType.INIT-blank-ul-channel_1-trial-6-humidity-air,51,,,,
871.3,MeasurementType.INIT-blank-ul-channel_1-trial-6-pascals-air,1000,,,,
871.3,MeasurementType.INIT-blank-ul-channel_1-trial-6-celsius-liquid,25,,,,
871.4,MeasurementType.INIT-blank-ul-channel_1-trial-6-grams-average,201.01,,,,
871.4,MeasurementType.INIT-blank-ul-channel_1-trial-6-grams-cv,0,,,,
871.5,MeasurementType.INIT-blank-ul-channel_1-trial-6-grams-min,201.01,,,,
871.5,MeasurementType.INIT-blank-ul-channel_1-trial-6-grams-max,201.01,,,,
871.6,MeasurementType.INIT-blank-ul-channel_1-trial-6-samples-start-time,1782308164,,,,
871.6,MeasurementType.INIT-blank-ul-channel_1-trial-6-samples-duration,9.8,,,,
871.7,MeasurementType.INIT-blank-ul-channel_1-trial-6-samples-count,50,,,,
899.4,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-celsius-pipette,26.83,,,,
899.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-humidity-pipette,39.97,,,,
899.5,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-celsius-air,21.2,,,,
899.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-humidity-air,50.8,,,,
899.6,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-pascals-air,1000,,,,
899.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-celsius-liquid,25,,,,
899.7,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-grams-average,201,,,,
899.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-grams-cv,0,,,,
899.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-grams-min,201,,,,
899.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-grams-max,201,,,,
900,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-samples-start-time,1782308192,,,,
900,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-samples-duration,9.79,,,,
900.1,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-6-samples-count,50,,,,
926.8,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-celsius-pipette,26.79,,,,
926.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-humidity-pipette,39.78,,,,
926.9,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-celsius-air,21.2,,,,
927,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-humidity-air,50.6,,,,
927,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-pascals-air,1000,,,,
927.1,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-celsius-liquid,25,,,,
927.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-grams-average,201,,,,
927.2,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-grams-cv,0,,,,
927.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-grams-min,201,,,,
927.3,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-grams-max,201,,,,
927.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-samples-start-time,1782308220,,,,
927.4,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-samples-duration,9.8,,,,
927.5,MeasurementType.DISPENSE-blank-ul-channel_1-trial-6-samples-count,50,,,,
982.3,MeasurementType.INIT-blank-ul-channel_1-trial-7-celsius-pipette,26.81,,,,
982.4,MeasurementType.INIT-blank-ul-channel_1-trial-7-humidity-pipette,39.47,,,,
982.4,MeasurementType.INIT-blank-ul-channel_1-trial-7-celsius-air,21.2,,,,
982.5,MeasurementType.INIT-blank-ul-channel_1-trial-7-humidity-air,50.2,,,,
982.5,MeasurementType.INIT-blank-ul-channel_1-trial-7-pascals-air,1000,,,,
982.6,MeasurementType.INIT-blank-ul-channel_1-trial-7-celsius-liquid,25,,,,
982.7,MeasurementType.INIT-blank-ul-channel_1-trial-7-grams-average,200.99,,,,
982.7,MeasurementType.INIT-blank-ul-channel_1-trial-7-grams-cv,0,,,,
982.8,MeasurementType.INIT-blank-ul-channel_1-trial-7-grams-min,200.99,,,,
982.8,MeasurementType.INIT-blank-ul-channel_1-trial-7-grams-max,200.99,,,,
982.9,MeasurementType.INIT-blank-ul-channel_1-trial-7-samples-start-time,1782308275,,,,
982.9,MeasurementType.INIT-blank-ul-channel_1-trial-7-samples-duration,9.61,,,,
983,MeasurementType.INIT-blank-ul-channel_1-trial-7-samples-count,49,,,,
1010.8,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-7-celsius-pipette,26.83,,,,
1010.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-7-humidity-pipette,39.37,,,,
1010.9,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-7-celsius-air,21.2,,,,
1011,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-7-humidity-air,50,,,,
1011,MeasurementType.ASPIRATE-blank-ul-channel_1-trial-7-pascals-air,1000,,,,
