copy,copy,copy,copy,,RETEST---.>>,,THIS IS NOT READY TO USE,,,,
3797.8,trial-10-liquid_height-1000.0-ul-channel_1,2.82E+01,,,,,,,,,
952.6,TRIALS_END,,,,,,,,,,
2778.3,_________________,,,,,,,,,,
2778.3,EVAPORATION_START,,,,,,,,,,
2778.3,aspirate-average-ul,7.42E-02,,,,,,,,,
2778.4,dispense-average-ul,6.20E-02,,,,,,,,,
2778.3,EVAPORATION_END,,,,,,,,,,
3795.8,_________________,,,,,,,,,,
3795.8,ENVIRONMENT_START,,,,,,,,,,
3795.8,environment-first-celsius-pipette,-4.50E+01,,,,,,,,,
3795.9,environment-first-humidity-pipette,0.00E+00,,,,,,,,,
3796,environment-first-celsius-air,2.01E+01,,,,,,,,,
3796,environment-first-humidity-air,52.8,,,,,,,,,
3796.1,environment-first-pascals-air,1.00E+03,,,,,,,,,
3796.2,environment-first-celsius-liquid,2.50E+01,,,,,,,,,
3796.3,environment-last-celsius-pipette,2.59E+01,,,,,,,,,
3796.3,environment-last-humidity-pipette,55.16593933,,,,,,,,,
3796.4,environment-last-celsius-air,2.02E+01,,,,,,,,,
3796.5,environment-last-humidity-air,5.09E+01,,,,,,,,,
3796.6,environment-last-pascals-air,1.00E+03,,,,,,,,,
3796.6,environment-last-celsius-liquid,2.50E+01,,,,,,,,,
3796.7,environment-min-celsius-pipette,-45,,,,,,,,,
3796.8,environment-min-humidity-pipette,0.00E+00,,,,,,,,,
3796.9,environment-min-celsius-air,2.01E+01,,,,,,,,,
3796.9,environment-min-humidity-air,4.98E+01,,,,,,,,,
3797,environment-min-pascals-air,1000,,,,,,,,,
3797.1,environment-min-celsius-liquid,2.50E+01,,,,,,,,,
3797.2,environment-max-celsius-pipette,2.59E+01,,,,,,,,,
3797.3,environment-max-humidity-pipette,6.60E+01,,,,,,,,,
3797.3,environment-max-celsius-air,20.3,,,,,,,,,
3797.4,environment-max-humidity-air,5.30E+01,,,,,,,,,
3797.5,environment-max-pascals-air,1.00E+03,,,,,,,,,
3797.6,environment-max-celsius-liquid,2.50E+01,,,,,,,,,
3795.8,ENVIRONMENT_END,,,,,,,,,,
903.2,__________________,,,,,,,,,,
903.2,MEASUREMENTS_START,,,,,,,,,,
2183.3,measure-init-blank-ul-channel_1-trial-1-celsius-pipette,2.49E+01,,,,,,,,,
2183.4,measure-init-blank-ul-channel_1-trial-1-humidity-pipette,5.74E+01,,,,,,,,,
2183.4,measure-init-blank-ul-channel_1-trial-1-celsius-air,20.2,,,,,,,,,
2183.5,measure-init-blank-ul-channel_1-trial-1-humidity-air,5.08E+01,,,,,,,,,
2183.6,measure-init-blank-ul-channel_1-trial-1-pascals-air,1.00E+03,,,,,,,,,
2183.6,measure-init-blank-ul-channel_1-trial-1-celsius-liquid,2.50E+01,,,,,,,,,
2183.7,measure-init-blank-ul-channel_1-trial-1-grams-average,19.52936,,,,,,,,,
2183.8,measure-init-blank-ul-channel_1-trial-1-grams-cv,2.53E-06,,,,,,,,,
2183.8,measure-init-blank-ul-channel_1-trial-1-grams-min,1.95E+01,,,,,,,,,
2183.9,measure-init-blank-ul-channel_1-trial-1-grams-max,1.95E+01,,,,,,,,,
2184,measure-init-blank-ul-channel_1-trial-1-samples-start-time,1.78E+09,,,,,,,,,
2184,measure-init-blank-ul-channel_1-trial-1-samples-duration,9.793170929,,,,,,,,,
2184.1,measure-init-blank-ul-channel_1-trial-1-samples-count,5.00E+01,,,,,,,,,
2206,measure-aspirate-blank-ul-channel_1-trial-1-celsius-pipette,2.51E+01,,,,,,,,,
2206.1,measure-aspirate-blank-ul-channel_1-trial-1-humidity-pipette,5.74E+01,,,,,,,,,
2206.1,measure-aspirate-blank-ul-channel_1-trial-1-celsius-air,20.2,,,,,,,,,
2206.2,measure-aspirate-blank-ul-channel_1-trial-1-humidity-air,5.09E+01,,,,,,,,,
2206.3,measure-aspirate-blank-ul-channel_1-trial-1-pascals-air,1.00E+03,,,,,,,,,
2206.3,measure-aspirate-blank-ul-channel_1-trial-1-celsius-liquid,2.50E+01,,,,,,,,,
2206.4,measure-aspirate-blank-ul-channel_1-trial-1-grams-average,19.529284,,,,,,,,,
2206.5,measure-aspirate-blank-ul-channel_1-trial-1-grams-cv,1.90E-06,,,,,,,,,
2206.5,measure-aspirate-blank-ul-channel_1-trial-1-grams-min,1.95E+01,,,,,,,,,
2206.6,measure-aspirate-blank-ul-channel_1-trial-1-grams-max,1.95E+01,,,,,,,,,
2206.7,measure-aspirate-blank-ul-channel_1-trial-1-samples-start-time,1.78E+09,,,,,,,,,
2206.7,measure-aspirate-blank-ul-channel_1-trial-1-samples-duration,9.826055288,,,,,,,,,
2206.8,measure-aspirate-blank-ul-channel_1-trial-1-samples-count,5.00E+01,,,,,,,,,
2229,measure-dispense-blank-ul-channel_1-trial-1-celsius-pipette,2.51E+01,,,,,,,,,
2229.1,measure-dispense-blank-ul-channel_1-trial-1-humidity-pipette,5.73E+01,,,,,,,,,
2229.1,measure-dispense-blank-ul-channel_1-trial-1-celsius-air,20.2,,,,,,,,,
2229.2,measure-dispense-blank-ul-channel_1-trial-1-humidity-air,5.13E+01,,,,,,,,,
2229.3,measure-dispense-blank-ul-channel_1-trial-1-pascals-air,1.00E+03,,,,,,,,,
2229.3,measure-dispense-blank-ul-channel_1-trial-1-celsius-liquid,2.50E+01,,,,,,,,,
2229.4,measure-dispense-blank-ul-channel_1-trial-1-grams-average,19.5292,,,,,,,,,
2229.5,measure-dispense-blank-ul-channel_1-trial-1-grams-cv,0.00E+00,,,,,,,,,
2229.5,measure-dispense-blank-ul-channel_1-trial-1-grams-min,1.95E+01,,,,,,,,,
2229.6,measure-dispense-blank-ul-channel_1-trial-1-grams-max,1.95E+01,,,,,,,,,
2229.7,measure-dispense-blank-ul-channel_1-trial-1-samples-start-time,1.78E+09,,,,,,,,,
2229.7,measure-dispense-blank-ul-channel_1-trial-1-samples-duration,9.828271389,,,,,,,,,
2229.8,measure-dispense-blank-ul-channel_1-trial-1-samples-count,5.00E+01,,,,,,,,,
2243.8,measure-init-blank-ul-channel_1-trial-2-celsius-pipette,2.51E+01,,,,,,,,,
2243.9,measure-init-blank-ul-channel_1-trial-2-humidity-pipette,5.72E+01,,,,,,,,,
2244,measure-init-blank-ul-channel_1-trial-2-celsius-air,20.2,,,,,,,,,
2244,measure-init-blank-ul-channel_1-trial-2-humidity-air,5.15E+01,,,,,,,,,
2244.1,measure-init-blank-ul-channel_1-trial-2-pascals-air,1.00E+03,,,,,,,,,
2244.2,measure-init-blank-ul-channel_1-trial-2-celsius-liquid,2.50E+01,,,,,,,,,
2244.3,measure-init-blank-ul-channel_1-trial-2-grams-average,19.5291,,,,,,,,,
2244.3,measure-init-blank-ul-channel_1-trial-2-grams-cv,0.00E+00,,,,,,,,,
2244.4,measure-init-blank-ul-channel_1-trial-2-grams-min,1.95E+01,,,,,,,,,
2244.5,measure-init-blank-ul-channel_1-trial-2-grams-max,1.95E+01,,,,,,,,,
2244.5,measure-init-blank-ul-channel_1-trial-2-samples-start-time,1.78E+09,,,,,,,,,
2244.6,measure-init-blank-ul-channel_1-trial-2-samples-duration,9.780622482,,,,,,,,,
2244.7,measure-init-blank-ul-channel_1-trial-2-samples-count,5.00E+01,,,,,,,,,
2266.7,measure-aspirate-blank-ul-channel_1-trial-2-celsius-pipette,2.51E+01,,,,,,,,,
2266.8,measure-aspirate-blank-ul-channel_1-trial-2-humidity-pipette,5.72E+01,,,,,,,,,
2266.9,measure-aspirate-blank-ul-channel_1-trial-2-celsius-air,20.2,,,,,,,,,
2267,measure-aspirate-blank-ul-channel_1-trial-2-humidity-air,5.17E+01,,,,,,,,,
2267,measure-aspirate-blank-ul-channel_1-trial-2-pascals-air,1.00E+03,,,,,,,,,
2267.1,measure-aspirate-blank-ul-channel_1-trial-2-celsius-liquid,2.50E+01,,,,,,,,,
2267.2,measure-aspirate-blank-ul-channel_1-trial-2-grams-average,19.5291,,,,,,,,,
2267.2,measure-aspirate-blank-ul-channel_1-trial-2-grams-cv,0.00E+00,,,,,,,,,
2267.3,measure-aspirate-blank-ul-channel_1-trial-2-grams-min,1.95E+01,,,,,,,,,
2267.4,measure-aspirate-blank-ul-channel_1-trial-2-grams-max,1.95E+01,,,,,,,,,
2267.4,measure-aspirate-blank-ul-channel_1-trial-2-samples-start-time,1.78E+09,,,,,,,,,
2267.5,measure-aspirate-blank-ul-channel_1-trial-2-samples-duration,9.827206373,,,,,,,,,
2267.6,measure-aspirate-blank-ul-channel_1-trial-2-samples-count,5.00E+01,,,,,,,,,
2289.7,measure-dispense-blank-ul-channel_1-trial-2-celsius-pipette,2.51E+01,,,,,,,,,
2289.8,measure-dispense-blank-ul-channel_1-trial-2-humidity-pipette,5.71E+01,,,,,,,,,
2289.9,measure-dispense-blank-ul-channel_1-trial-2-celsius-air,20.2,,,,,,,,,
2289.9,measure-dispense-blank-ul-channel_1-trial-2-humidity-air,51.9,,,,,,,,,
2290,measure-dispense-blank-ul-channel_1-trial-2-pascals-air,1.00E+03,,,,,,,,,
2290.1,measure-dispense-blank-ul-channel_1-trial-2-celsius-liquid,2.50E+01,,,,,,,,,
2290.1,measure-dispense-blank-ul-channel_1-trial-2-grams-average,19.52900784,,,,,,,,,
2290.2,measure-dispense-blank-ul-channel_1-trial-2-grams-cv,1.39E-06,,,,,,,,,
2290.3,measure-dispense-blank-ul-channel_1-trial-2-grams-min,19.529,,,,,,,,,
2290.3,measure-dispense-blank-ul-channel_1-trial-2-grams-max,19.5291,,,,,,,,,
2290.4,measure-dispense-blank-ul-channel_1-trial-2-samples-start-time,1.78E+09,,,,,,,,,
2290.5,measure-dispense-blank-ul-channel_1-trial-2-samples-duration,9.986316204,,,,,,,,,
2290.6,measure-dispense-blank-ul-channel_1-trial-2-samples-count,5.10E+01,,,,,,,,,
2304.6,measure-init-blank-ul-channel_1-trial-3-celsius-pipette,2.51E+01,,,,,,,,,
2304.7,measure-init-blank-ul-channel_1-trial-3-humidity-pipette,5.71E+01,,,,,,,,,
2304.7,measure-init-blank-ul-channel_1-trial-3-celsius-air,20.2,,,,,,,,,
2304.8,measure-init-blank-ul-channel_1-trial-3-humidity-air,5.19E+01,,,,,,,,,
2304.9,measure-init-blank-ul-channel_1-trial-3-pascals-air,1.00E+03,,,,,,,,,
2304.9,measure-init-blank-ul-channel_1-trial-3-celsius-liquid,2.50E+01,,,,,,,,,
2305,measure-init-blank-ul-channel_1-trial-3-grams-average,19.529,,,,,,,,,
2305.1,measure-init-blank-ul-channel_1-trial-3-grams-cv,0.00E+00,,,,,,,,,
2305.2,measure-init-blank-ul-channel_1-trial-3-grams-min,1.95E+01,,,,,,,,,
2305.2,measure-init-blank-ul-channel_1-trial-3-grams-max,1.95E+01,,,,,,,,,
2305.3,measure-init-blank-ul-channel_1-trial-3-samples-start-time,1.78E+09,,,,,,,,,
2305.4,measure-init-blank-ul-channel_1-trial-3-samples-duration,9.775547743,,,,,,,,,
2305.4,measure-init-blank-ul-channel_1-trial-3-samples-count,5.00E+01,,,,,,,,,
2327.5,measure-aspirate-blank-ul-channel_1-trial-3-celsius-pipette,2.51E+01,,,,,,,,,
2327.5,measure-aspirate-blank-ul-channel_1-trial-3-humidity-pipette,5.70E+01,,,,,,,,,
2327.6,measure-aspirate-blank-ul-channel_1-trial-3-celsius-air,20.2,,,,,,,,,
2327.7,measure-aspirate-blank-ul-channel_1-trial-3-humidity-air,5.18E+01,,,,,,,,,
2327.7,measure-aspirate-blank-ul-channel_1-trial-3-pascals-air,1000,,,,,,,,,
2327.8,measure-aspirate-blank-ul-channel_1-trial-3-celsius-liquid,25,,,,,,,,,
2327.9,measure-aspirate-blank-ul-channel_1-trial-3-grams-average,19.528936,,,,,,,,,
2328,measure-aspirate-blank-ul-channel_1-trial-3-grams-cv,2.48E-06,,,,,,,,,
2328,measure-aspirate-blank-ul-channel_1-trial-3-grams-min,19.5289,,,,,,,,,
2328.1,measure-aspirate-blank-ul-channel_1-trial-3-grams-max,19.529,,,,,,,,,
2328.2,measure-aspirate-blank-ul-channel_1-trial-3-samples-start-time,1779383150,,,,,,,,,
2328.2,measure-aspirate-blank-ul-channel_1-trial-3-samples-duration,9.778531313,,,,,,,,,
2328.3,measure-aspirate-blank-ul-channel_1-trial-3-samples-count,5.00E+01,,,,,,,,,
2350.5,measure-dispense-blank-ul-channel_1-trial-3-celsius-pipette,2.52E+01,,,,,,,,,
2350.5,measure-dispense-blank-ul-channel_1-trial-3-humidity-pipette,5.69E+01,,,,,,,,,
2350.6,measure-dispense-blank-ul-channel_1-trial-3-celsius-air,20.2,,,,,,,,,
2350.7,measure-dispense-blank-ul-channel_1-trial-3-humidity-air,5.17E+01,,,,,,,,,
2350.7,measure-dispense-blank-ul-channel_1-trial-3-pascals-air,1.00E+03,,,,,,,,,
2350.8,measure-dispense-blank-ul-channel_1-trial-3-celsius-liquid,2.50E+01,,,,,,,,,
2350.9,measure-dispense-blank-ul-channel_1-trial-3-grams-average,19.5289,,,,,,,,,
2351,measure-dispense-blank-ul-channel_1-trial-3-grams-cv,0.00E+00,,,,,,,,,
2351,measure-dispense-blank-ul-channel_1-trial-3-grams-min,1.95E+01,,,,,,,,,
2351.1,measure-dispense-blank-ul-channel_1-trial-3-grams-max,1.95E+01,,,,,,,,,
2351.2,measure-dispense-blank-ul-channel_1-trial-3-samples-start-time,1.78E+09,,,,,,,,,
2351.2,measure-dispense-blank-ul-channel_1-trial-3-samples-duration,9.783332109,,,,,,,,,
2351.3,measure-dispense-blank-ul-channel_1-trial-3-samples-count,50,,,,,,,,,
2365.3,measure-init-blank-ul-channel_1-trial-4-celsius-pipette,25.20828247,,,,,,,,,
2365.4,measure-init-blank-ul-channel_1-trial-4-humidity-pipette,5.69E+01,,,,,,,,,
2365.4,measure-init-blank-ul-channel_1-trial-4-celsius-air,20.2,,,,,,,,,
2365.5,measure-init-blank-ul-channel_1-trial-4-humidity-air,5.16E+01,,,,,,,,,
2365.6,measure-init-blank-ul-channel_1-trial-4-pascals-air,1000,,,,,,,,,
2365.7,measure-init-blank-ul-channel_1-trial-4-celsius-liquid,25,,,,,,,,,
2365.7,measure-init-blank-ul-channel_1-trial-4-grams-average,19.5288,,,,,,,,,
2365.8,measure-init-blank-ul-channel_1-trial-4-grams-cv,0.00E+00,,,,,,,,,
2365.9,measure-init-blank-ul-channel_1-trial-4-grams-min,1.95E+01,,,,,,,,,
2365.9,measure-init-blank-ul-channel_1-trial-4-grams-max,1.95E+01,,,,,,,,,
2366,measure-init-blank-ul-channel_1-trial-4-samples-start-time,1779383188,,,,,,,,,
2366.1,measure-init-blank-ul-channel_1-trial-4-samples-duration,9.774346113,,,,,,,,,
2366.1,measure-init-blank-ul-channel_1-trial-4-samples-count,50,,,,,,,,,
2388.2,measure-aspirate-blank-ul-channel_1-trial-4-celsius-pipette,2.52E+01,,,,,,,,,
2388.3,measure-aspirate-blank-ul-channel_1-trial-4-humidity-pipette,5.69E+01,,,,,,,,,
2388.3,measure-aspirate-blank-ul-channel_1-trial-4-celsius-air,20.2,,,,,,,,,
2388.4,measure-aspirate-blank-ul-channel_1-trial-4-humidity-air,5.14E+01,,,,,,,,,
2388.5,measure-aspirate-blank-ul-channel_1-trial-4-pascals-air,1.00E+03,,,,,,,,,
2388.5,measure-aspirate-blank-ul-channel_1-trial-4-celsius-liquid,2.50E+01,,,,,,,,,
2388.6,measure-aspirate-blank-ul-channel_1-trial-4-grams-average,19.528734,,,,,,,,,
2388.7,measure-aspirate-blank-ul-channel_1-trial-4-grams-cv,2.45E-06,,,,,,,,,
2388.7,measure-aspirate-blank-ul-channel_1-trial-4-grams-min,1.95E+01,,,,,,,,,
2388.8,measure-aspirate-blank-ul-channel_1-trial-4-grams-max,1.95E+01,,,,,,,,,
2388.9,measure-aspirate-blank-ul-channel_1-trial-4-samples-start-time,1.78E+09,,,,,,,,,
2388.9,measure-aspirate-blank-ul-channel_1-trial-4-samples-duration,9.780431986,,,,,,,,,
2389,measure-aspirate-blank-ul-channel_1-trial-4-samples-count,5.00E+01,,,,,,,,,
2411.2,measure-dispense-blank-ul-channel_1-trial-4-celsius-pipette,2.53E+01,,,,,,,,,
2411.3,measure-dispense-blank-ul-channel_1-trial-4-humidity-pipette,5.68E+01,,,,,,,,,
2411.3,measure-dispense-blank-ul-channel_1-trial-4-celsius-air,20.2,,,,,,,,,
2411.4,measure-dispense-blank-ul-channel_1-trial-4-humidity-air,5.12E+01,,,,,,,,,
2411.5,measure-dispense-blank-ul-channel_1-trial-4-pascals-air,1000,,,,,,,,,
2411.5,measure-dispense-blank-ul-channel_1-trial-4-celsius-liquid,25,,,,,,,,,
2411.6,measure-dispense-blank-ul-channel_1-trial-4-grams-average,19.5287,,,,,,,,,
2411.7,measure-dispense-blank-ul-channel_1-trial-4-grams-cv,0.00E+00,,,,,,,,,
2411.7,measure-dispense-blank-ul-channel_1-trial-4-grams-min,1.95E+01,,,,,,,,,
2411.8,measure-dispense-blank-ul-channel_1-trial-4-grams-max,19.5287,,,,,,,,,
2411.9,measure-dispense-blank-ul-channel_1-trial-4-samples-start-time,1.78E+09,,,,,,,,,
2411.9,measure-dispense-blank-ul-channel_1-trial-4-samples-duration,9.775574684,,,,,,,,,
2412,measure-dispense-blank-ul-channel_1-trial-4-samples-count,5.00E+01,,,,,,,,,
2426,measure-init-blank-ul-channel_1-trial-5-celsius-pipette,2.52E+01,,,,,,,,,
2426.1,measure-init-blank-ul-channel_1-trial-5-humidity-pipette,5.68E+01,,,,,,,,,
2426.2,measure-init-blank-ul-channel_1-trial-5-celsius-air,20.2,,,,,,,,,
2426.3,measure-init-blank-ul-channel_1-trial-5-humidity-air,5.10E+01,,,,,,,,,
2426.3,measure-init-blank-ul-channel_1-trial-5-pascals-air,1.00E+03,,,,,,,,,
2426.4,measure-init-blank-ul-channel_1-trial-5-celsius-liquid,2.50E+01,,,,,,,,,
2426.5,measure-init-blank-ul-channel_1-trial-5-grams-average,19.5287,,,,,,,,,
2426.5,measure-init-blank-ul-channel_1-trial-5-grams-cv,0.00E+00,,,,,,,,,
2426.6,measure-init-blank-ul-channel_1-trial-5-grams-min,1.95E+01,,,,,,,,,
2426.7,measure-init-blank-ul-channel_1-trial-5-grams-max,1.95E+01,,,,,,,,,
2426.7,measure-init-blank-ul-channel_1-trial-5-samples-start-time,1.78E+09,,,,,,,,,
2426.8,measure-init-blank-ul-channel_1-trial-5-samples-duration,9.779549837,,,,,,,,,
2426.9,measure-init-blank-ul-channel_1-trial-5-samples-count,5.00E+01,,,,,,,,,
2448.9,measure-aspirate-blank-ul-channel_1-trial-5-celsius-pipette,2.53E+01,,,,,,,,,
2449,measure-aspirate-blank-ul-channel_1-trial-5-humidity-pipette,5.67E+01,,,,,,,,,
2449.1,measure-aspirate-blank-ul-channel_1-trial-5-celsius-air,20.2,,,,,,,,,
2449.1,measure-aspirate-blank-ul-channel_1-trial-5-humidity-air,5.07E+01,,,,,,,,,
2449.2,measure-aspirate-blank-ul-channel_1-trial-5-pascals-air,1.00E+03,,,,,,,,,
2449.3,measure-aspirate-blank-ul-channel_1-trial-5-celsius-liquid,2.50E+01,,,,,,,,,
2449.3,measure-aspirate-blank-ul-channel_1-trial-5-grams-average,19.528596,,,,,,,,,
2449.4,measure-aspirate-blank-ul-channel_1-trial-5-grams-cv,2.30E-06,,,,,,,,,
2449.5,measure-aspirate-blank-ul-channel_1-trial-5-grams-min,1.95E+01,,,,,,,,,
2449.5,measure-aspirate-blank-ul-channel_1-trial-5-grams-max,1.95E+01,,,,,,,,,
2449.6,measure-aspirate-blank-ul-channel_1-trial-5-samples-start-time,1.78E+09,,,,,,,,,
2449.7,measure-aspirate-blank-ul-channel_1-trial-5-samples-duration,9.831158876,,,,,,,,,
2449.7,measure-aspirate-blank-ul-channel_1-trial-5-samples-count,5.00E+01,,,,,,,,,
2471.9,measure-dispense-blank-ul-channel_1-trial-5-celsius-pipette,2.53E+01,,,,,,,,,
2472,measure-dispense-blank-ul-channel_1-trial-5-humidity-pipette,5.67E+01,,,,,,,,,
2472.1,measure-dispense-blank-ul-channel_1-trial-5-celsius-air,20.2,,,,,,,,,
2472.1,measure-dispense-blank-ul-channel_1-trial-5-humidity-air,5.05E+01,,,,,,,,,
2472.2,measure-dispense-blank-ul-channel_1-trial-5-pascals-air,1.00E+03,,,,,,,,,
2472.3,measure-dispense-blank-ul-channel_1-trial-5-celsius-liquid,2.50E+01,,,,,,,,,
2472.3,measure-dispense-blank-ul-channel_1-trial-5-grams-average,19.5285,,,,,,,,,
2472.4,measure-dispense-blank-ul-channel_1-trial-5-grams-cv,0.00E+00,,,,,,,,,
2472.5,measure-dispense-blank-ul-channel_1-trial-5-grams-min,1.95E+01,,,,,,,,,
2472.5,measure-dispense-blank-ul-channel_1-trial-5-grams-max,1.95E+01,,,,,,,,,
2472.6,measure-dispense-blank-ul-channel_1-trial-5-samples-start-time,1.78E+09,,,,,,,,,
2472.7,measure-dispense-blank-ul-channel_1-trial-5-samples-duration,9.827120781,,,,,,,,,
2472.8,measure-dispense-blank-ul-channel_1-trial-5-samples-count,5.00E+01,,,,,,,,,
2486.8,measure-init-blank-ul-channel_1-trial-6-celsius-pipette,2.53E+01,,,,,,,,,
2486.9,measure-init-blank-ul-channel_1-trial-6-humidity-pipette,5.64E+01,,,,,,,,,
2486.9,measure-init-blank-ul-channel_1-trial-6-celsius-air,20.2,,,,,,,,,
2487,measure-init-blank-ul-channel_1-trial-6-humidity-air,5.04E+01,,,,,,,,,
2487.1,measure-init-blank-ul-channel_1-trial-6-pascals-air,1.00E+03,,,,,,,,,
2487.1,measure-init-blank-ul-channel_1-trial-6-celsius-liquid,2.50E+01,,,,,,,,,
2487.2,measure-init-blank-ul-channel_1-trial-6-grams-average,19.5285,,,,,,,,,
2487.3,measure-init-blank-ul-channel_1-trial-6-grams-cv,0.00E+00,,,,,,,,,
2487.3,measure-init-blank-ul-channel_1-trial-6-grams-min,1.95E+01,,,,,,,,,
2487.4,measure-init-blank-ul-channel_1-trial-6-grams-max,1.95E+01,,,,,,,,,
2487.5,measure-init-blank-ul-channel_1-trial-6-samples-start-time,1.78E+09,,,,,,,,,
2487.5,measure-init-blank-ul-channel_1-trial-6-samples-duration,9.777682304,,,,,,,,,
2487.6,measure-init-blank-ul-channel_1-trial-6-samples-count,5.00E+01,,,,,,,,,
2509.7,measure-aspirate-blank-ul-channel_1-trial-6-celsius-pipette,2.53E+01,,,,,,,,,
2509.7,measure-aspirate-blank-ul-channel_1-trial-6-humidity-pipette,5.64E+01,,,,,,,,,
2509.8,measure-aspirate-blank-ul-channel_1-trial-6-celsius-air,20.2,,,,,,,,,
2509.9,measure-aspirate-blank-ul-channel_1-trial-6-humidity-air,5.01E+01,,,,,,,,,
2509.9,measure-aspirate-blank-ul-channel_1-trial-6-pascals-air,1.00E+03,,,,,,,,,
2510,measure-aspirate-blank-ul-channel_1-trial-6-celsius-liquid,2.50E+01,,,,,,,,,
2510.1,measure-aspirate-blank-ul-channel_1-trial-6-grams-average,19.5284,,,,,,,,,
2510.2,measure-aspirate-blank-ul-channel_1-trial-6-grams-cv,0.00E+00,,,,,,,,,
2510.2,measure-aspirate-blank-ul-channel_1-trial-6-grams-min,1.95E+01,,,,,,,,,
2510.3,measure-aspirate-blank-ul-channel_1-trial-6-grams-max,1.95E+01,,,,,,,,,
2510.4,measure-aspirate-blank-ul-channel_1-trial-6-samples-start-time,1.78E+09,,,,,,,,,
2510.4,measure-aspirate-blank-ul-channel_1-trial-6-samples-duration,9.775348186,,,,,,,,,
2510.5,measure-aspirate-blank-ul-channel_1-trial-6-samples-count,5.00E+01,,,,,,,,,
2532.7,measure-dispense-blank-ul-channel_1-trial-6-celsius-pipette,2.53E+01,,,,,,,,,
2532.8,measure-dispense-blank-ul-channel_1-trial-6-humidity-pipette,5.63E+01,,,,,,,,,
2532.8,measure-dispense-blank-ul-channel_1-trial-6-celsius-air,20.2,,,,,,,,,
2532.9,measure-dispense-blank-ul-channel_1-trial-6-humidity-air,4.98E+01,,,,,,,,,
2533,measure-dispense-blank-ul-channel_1-trial-6-pascals-air,1.00E+03,,,,,,,,,
2533,measure-dispense-blank-ul-channel_1-trial-6-celsius-liquid,2.50E+01,,,,,,,,,
2533.1,measure-dispense-blank-ul-channel_1-trial-6-grams-average,19.52839,,,,,,,,,
2533.2,measure-dispense-blank-ul-channel_1-trial-6-grams-cv,1.55E-06,,,,,,,,,
2533.2,measure-dispense-blank-ul-channel_1-trial-6-grams-min,1.95E+01,,,,,,,,,
2533.3,measure-dispense-blank-ul-channel_1-trial-6-grams-max,1.95E+01,,,,,,,,,
2533.4,measure-dispense-blank-ul-channel_1-trial-6-samples-start-time,1.78E+09,,,,,,,,,
2533.4,measure-dispense-blank-ul-channel_1-trial-6-samples-duration,9.790547609,,,,,,,,,
2533.5,measure-dispense-blank-ul-channel_1-trial-6-samples-count,5.00E+01,,,,,,,,,
2547.5,measure-init-blank-ul-channel_1-trial-7-celsius-pipette,2.54E+01,,,,,,,,,
2547.6,measure-init-blank-ul-channel_1-trial-7-humidity-pipette,5.60E+01,,,,,,,,,
2547.7,measure-init-blank-ul-channel_1-trial-7-celsius-air,20.2,,,,,,,,,
2547.8,measure-init-blank-ul-channel_1-trial-7-humidity-air,4.98E+01,,,,,,,,,
2547.8,measure-init-blank-ul-channel_1-trial-7-pascals-air,1.00E+03,,,,,,,,,
2547.9,measure-init-blank-ul-channel_1-trial-7-celsius-liquid,2.50E+01,,,,,,,,,
2548,measure-init-blank-ul-channel_1-trial-7-grams-average,19.5283,,,,,,,,,
2548,measure-init-blank-ul-channel_1-trial-7-grams-cv,0.00E+00,,,,,,,,,
2548.1,measure-init-blank-ul-channel_1-trial-7-grams-min,1.95E+01,,,,,,,,,
2548.2,measure-init-blank-ul-channel_1-trial-7-grams-max,1.95E+01,,,,,,,,,
2548.2,measure-init-blank-ul-channel_1-trial-7-samples-start-time,1.78E+09,,,,,,,,,
2548.3,measure-init-blank-ul-channel_1-trial-7-samples-duration,9.779952526,,,,,,,,,
2548.4,measure-init-blank-ul-channel_1-trial-7-samples-count,5.00E+01,,,,,,,,,
2570.5,measure-aspirate-blank-ul-channel_1-trial-7-celsius-pipette,2.54E+01,,,,,,,,,
2570.5,measure-aspirate-blank-ul-channel_1-trial-7-humidity-pipette,5.61E+01,,,,,,,,,
2570.6,measure-aspirate-blank-ul-channel_1-trial-7-celsius-air,20.2,,,,,,,,,
2570.7,measure-aspirate-blank-ul-channel_1-trial-7-humidity-air,4.98E+01,,,,,,,,,
2570.7,measure-aspirate-blank-ul-channel_1-trial-7-pascals-air,1.00E+03,,,,,,,,,
2570.8,measure-aspirate-blank-ul-channel_1-trial-7-celsius-liquid,2.50E+01,,,,,,,,,
2570.9,measure-aspirate-blank-ul-channel_1-trial-7-grams-average,19.5282,,,,,,,,,
2570.9,measure-aspirate-blank-ul-channel_1-trial-7-grams-cv,0.00E+00,,,,,,,,,
2571,measure-aspirate-blank-ul-channel_1-trial-7-grams-min,1.95E+01,,,,,,,,,
2571.1,measure-aspirate-blank-ul-channel_1-trial-7-grams-max,1.95E+01,,,,,,,,,
2571.1,measure-aspirate-blank-ul-channel_1-trial-7-samples-start-time,1.78E+09,,,,,,,,,
2571.2,measure-aspirate-blank-ul-channel_1-trial-7-samples-duration,9.782929182,,,,,,,,,
2571.3,measure-aspirate-blank-ul-channel_1-trial-7-samples-count,5.00E+01,,,,,,,,,
2593.5,measure-dispense-blank-ul-channel_1-trial-7-celsius-pipette,2.54E+01,,,,,,,,,
2593.6,measure-dispense-blank-ul-channel_1-trial-7-humidity-pipette,5.60E+01,,,,,,,,,
