copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088.9,volume-dispense-1.0-trial_6-d,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_8-celsius-pipette-avg,0,None,volume,aspirate,1,trial_8,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-humidity-air,503,4.74E+01,measure,aspirate,blank,ul,channel_1,trial,4,humidity,air,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_6-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_8-humidity-pipette-avg,0,None,volume,aspirate,1,trial_8,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-pascals-air,503.1,1.00E+03,measure,aspirate,blank,ul,channel_1,trial,4,pascals,air,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_6-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_8-average,2089.6,1.05,volume,dispense,1,trial_8,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-celsius-liquid,503.1,2.50E+01,measure,aspirate,blank,ul,channel_1,trial,4,celsius,liquid,,,,,,,,,,,,,,,,
2089,volume-aspirate-1.0-trial_7-average,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_8-cv,2089.7,-1.00E+00,volume,dispense,1,trial_8,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-grams-average,503.2,16.51034792,measure,aspirate,blank,ul,channel_1,trial,4,grams,average,,,,,,,,,,,,,,,,
2089.1,volume-aspirate-1.0-trial_7-cv,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_8-d,2089.7,4.58,volume,dispense,1,trial_8,d,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-grams-cv,503.2,2.23E-07,measure,aspirate,blank,ul,channel_1,trial,4,grams,cv,,,,,,,,,,,,,,,,
2089.1,volume-aspirate-1.0-trial_7-d,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_8-celsius-pipette-avg,0,None,volume,dispense,1,trial_8,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-grams-min,503.3,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,4,grams,min,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_7-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_8-humidity-pipette-avg,0,None,volume,dispense,1,trial_8,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-grams-max,503.3,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,4,grams,max,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_7-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_9-average,2089.8,1.06E+00,volume,aspirate,1,trial_9,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-samples-start-time,503.4,1.78E+09,measure,aspirate,blank,ul,channel_1,trial,4,samples,start,time,,,,,,,,,,,,,,,
2089.2,volume-dispense-1.0-trial_7-average,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_9-cv,2089.9,-1.00E+00,volume,aspirate,1,trial_9,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-samples-duration,503.4,9.829322338,measure,aspirate,blank,ul,channel_1,trial,4,samples,duration,,,,,,,,,,,,,,,,
2089.3,volume-dispense-1.0-trial_7-cv,-1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_9-d,2090,5.67,volume,aspirate,1,trial_9,d,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-4-samples-count,503.5,5.00E+01,measure,aspirate,blank,ul,channel_1,trial,4,samples,count,,,,,,,,,,,,,,,,
2089.3,volume-dispense-1.0-trial_7-d,2.19E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_9-celsius-pipette-avg,0,None,volume,aspirate,1,trial_9,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-celsius-pipette,528,2.44E+01,measure,dispense,blank,ul,channel_1,trial,4,celsius,pipette,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_7-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_9-humidity-pipette-avg,0,None,volume,aspirate,1,trial_9,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-humidity-pipette,528.1,4.76E+01,measure,dispense,blank,ul,channel_1,trial,4,humidity,pipette,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_7-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_9-average,2090,1.04,volume,dispense,1,trial_9,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-celsius-air,528.2,21.7,measure,dispense,blank,ul,channel_1,trial,4,celsius,air,,,,,,,,,,,,,,,,
2089.4,volume-aspirate-1.0-trial_8-average,1.07E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_9-cv,2090.1,-1,volume,dispense,1,trial_9,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-humidity-air,528.2,4.74E+01,measure,dispense,blank,ul,channel_1,trial,4,humidity,air,,,,,,,,,,,,,,,,
2089.5,volume-aspirate-1.0-trial_8-cv,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_9-d,2090.2,4.42,volume,dispense,1,trial_9,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-pascals-air,528.3,1000,measure,dispense,blank,ul,channel_1,trial,4,pascals,air,,,,,,,,,,,,,,,,
2089.5,volume-aspirate-1.0-trial_8-d,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_9-celsius-pipette-avg,0,None,volume,dispense,1,trial_9,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-celsius-liquid,528.3,2.50E+01,measure,dispense,blank,ul,channel_1,trial,4,celsius,liquid,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_8-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_9-humidity-pipette-avg,0,None,volume,dispense,1,trial_9,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-grams-average,528.4,16.51032064,measure,dispense,blank,ul,channel_1,trial,4,grams,average,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_8-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_10-average,2090.2,1.07,volume,aspirate,1,trial_10,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-grams-cv,528.4,1.92E-07,measure,dispense,blank,ul,channel_1,trial,4,grams,cv,,,,,,,,,,,,,,,,
2089.6,volume-dispense-1.0-trial_8-average,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_10-cv,2090.3,-1.00E+00,volume,aspirate,1,trial_10,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-grams-min,528.5,1.65E+01,measure,dispense,blank,ul,channel_1,trial,4,grams,min,,,,,,,,,,,,,,,,
2089.7,volume-dispense-1.0-trial_8-cv,-1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_10-d,2090.4,7.27E+00,volume,aspirate,1,trial_10,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-grams-max,528.6,16.510326,measure,dispense,blank,ul,channel_1,trial,4,grams,max,,,,,,,,,,,,,,,,
2089.7,volume-dispense-1.0-trial_8-d,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_10-celsius-pipette-avg,0,None,volume,aspirate,1,trial_10,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-samples-start-time,528.6,1.78E+09,measure,dispense,blank,ul,channel_1,trial,4,samples,start,time,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_8-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-1.0-trial_10-humidity-pipette-avg,0,None,volume,aspirate,1,trial_10,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-samples-duration,528.7,9.765566826,measure,dispense,blank,ul,channel_1,trial,4,samples,duration,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_8-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_10-average,2090.4,1.05,volume,dispense,1,trial_10,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-4-samples-count,528.7,5.00E+01,measure,dispense,blank,ul,channel_1,trial,4,samples,count,,,,,,,,,,,,,,,,
2089.8,volume-aspirate-1.0-trial_9-average,1.06E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_10-cv,2090.5,-1.00E+00,volume,dispense,1,trial_10,cv,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-celsius-pipette,545.6,2.45E+01,measure,init,blank,ul,channel_1,trial,5,celsius,pipette,,,,,,,,,,,,,,,,
2089.9,volume-aspirate-1.0-trial_9-cv,-1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_10-d,2090.6,4.51E+00,volume,dispense,1,trial_10,d,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-humidity-pipette,545.7,4.74E+01,measure,init,blank,ul,channel_1,trial,5,humidity,pipette,,,,,,,,,,,,,,,,
2090,volume-aspirate-1.0-trial_9-d,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_10-celsius-pipette-avg,0,None,volume,dispense,1,trial_10,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-celsius-air,545.7,21.8,measure,init,blank,ul,channel_1,trial,5,celsius,air,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_9-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-1.0-trial_10-humidity-pipette-avg,0,None,volume,dispense,1,trial_10,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-humidity-air,545.8,4.74E+01,measure,init,blank,ul,channel_1,trial,5,humidity,air,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_9-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_all-average,3241.2,5.04E+01,volume,aspirate,50,channel_all,average,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-pascals-air,545.8,1.00E+03,measure,init,blank,ul,channel_1,trial,5,pascals,air,,,,,,,,,,,,,,,,
2090,volume-dispense-1.0-trial_9-average,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_all-cv,3241.3,0.13,volume,aspirate,50,channel_all,cv,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-celsius-liquid,545.9,2.50E+01,measure,init,blank,ul,channel_1,trial,5,celsius,liquid,,,,,,,,,,,,,,,,
2090.1,volume-dispense-1.0-trial_9-cv,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_all-d,3241.4,8.50E-01,volume,aspirate,50,channel_all,d,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-grams-average,545.9,16.51030028,measure,init,blank,ul,channel_1,trial,5,grams,average,,,,,,,,,,,,,,,,
2090.2,volume-dispense-1.0-trial_9-d,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_all-celsius-pipette-avg,0,None,volume,aspirate,50,channel_all,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-grams-cv,546,2.28E-07,measure,init,blank,ul,channel_1,trial,5,grams,cv,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_9-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_all-humidity-pipette-avg,0,None,volume,aspirate,50,channel_all,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-grams-min,546.1,1.65E+01,measure,init,blank,ul,channel_1,trial,5,grams,min,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_9-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_all-average,3241.5,5.03E+01,volume,dispense,50,channel_all,average,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-grams-max,546.1,1.65E+01,measure,init,blank,ul,channel_1,trial,5,grams,max,,,,,,,,,,,,,,,,
2090.2,volume-aspirate-1.0-trial_10-average,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_all-cv,3241.5,2.00E-01,volume,dispense,50,channel_all,cv,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-samples-start-time,546.2,1.78E+09,measure,init,blank,ul,channel_1,trial,5,samples,start,time,,,,,,,,,,,,,,,
2090.3,volume-aspirate-1.0-trial_10-cv,-1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_all-d,3241.6,5.80E-01,volume,dispense,50,channel_all,d,,,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-samples-duration,546.2,9.813175917,measure,init,blank,ul,channel_1,trial,5,samples,duration,,,,,,,,,,,,,,,,
2090.4,volume-aspirate-1.0-trial_10-d,7.27E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_all-celsius-pipette-avg,0,None,volume,dispense,50,channel_all,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-init-blank-ul-channel_1-trial-5-samples-count,546.3,5.00E+01,measure,init,blank,ul,channel_1,trial,5,samples,count,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_10-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_all-humidity-pipette-avg,0,None,volume,dispense,50,channel_all,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-celsius-pipette,571.5,2.46E+01,measure,aspirate,blank,ul,channel_1,trial,5,celsius,pipette,,,,,,,,,,,,,,,,
0,volume-aspirate-1.0-trial_10-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_1-average,3236,5.04E+01,volume,aspirate,50,channel_1,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-humidity-pipette,571.5,4.74E+01,measure,aspirate,blank,ul,channel_1,trial,5,humidity,pipette,,,,,,,,,,,,,,,,
2090.4,volume-dispense-1.0-trial_10-average,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_1-cv,3236,0.13,volume,aspirate,50,channel_1,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-celsius-air,571.6,21.8,measure,aspirate,blank,ul,channel_1,trial,5,celsius,air,,,,,,,,,,,,,,,,
2090.5,volume-dispense-1.0-trial_10-cv,-1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_1-d,3236.1,0.85,volume,aspirate,50,channel_1,d,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-humidity-air,571.7,4.74E+01,measure,aspirate,blank,ul,channel_1,trial,5,humidity,air,,,,,,,,,,,,,,,,
2090.6,volume-dispense-1.0-trial_10-d,4.51E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_1-celsius-pipette-avg,3236.2,2.69E+01,volume,aspirate,50,channel_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-pascals-air,571.7,1.00E+03,measure,aspirate,blank,ul,channel_1,trial,5,pascals,air,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_10-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-channel_1-humidity-pipette-avg,3236.2,39.35,volume,aspirate,50,channel_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-celsius-liquid,571.8,2.50E+01,measure,aspirate,blank,ul,channel_1,trial,5,celsius,liquid,,,,,,,,,,,,,,,,
0,volume-dispense-1.0-trial_10-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_1-average,3236.3,5.03E+01,volume,dispense,50,channel_1,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-grams-average,571.8,16.5102708,measure,aspirate,blank,ul,channel_1,trial,5,grams,average,,,,,,,,,,,,,,,,
3241.2,volume-aspirate-50.0-channel_all-average,5.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_1-cv,3236.4,0.2,volume,dispense,50,channel_1,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-grams-cv,571.9,2.02E-07,measure,aspirate,blank,ul,channel_1,trial,5,grams,cv,,,,,,,,,,,,,,,,
3241.3,volume-aspirate-50.0-channel_all-cv,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_1-d,3236.5,5.80E-01,volume,dispense,50,channel_1,d,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-grams-min,571.9,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,5,grams,min,,,,,,,,,,,,,,,,
3241.4,volume-aspirate-50.0-channel_all-d,8.50E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_1-celsius-pipette-avg,3236.5,2.69E+01,volume,dispense,50,channel_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-grams-max,572,1.65E+01,measure,aspirate,blank,ul,channel_1,trial,5,grams,max,,,,,,,,,,,,,,,,
0,volume-aspirate-50.0-channel_all-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-channel_1-humidity-pipette-avg,3236.6,3.95E+01,volume,dispense,50,channel_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-samples-start-time,572.1,1.78E+09,measure,aspirate,blank,ul,channel_1,trial,5,samples,start,time,,,,,,,,,,,,,,,
0,volume-aspirate-50.0-channel_all-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_1-average,3236.7,5.06E+01,volume,aspirate,50,trial_1,average,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-samples-duration,572.1,9.749429941,measure,aspirate,blank,ul,channel_1,trial,5,samples,duration,,,,,,,,,,,,,,,,
3241.5,volume-dispense-50.0-channel_all-average,5.03E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_1-cv,3236.8,-1,volume,aspirate,50,trial_1,cv,,,,,,,,,,,,,,,,,,measure-aspirate-blank-ul-channel_1-trial-5-samples-count,572.2,5.00E+01,measure,aspirate,blank,ul,channel_1,trial,5,samples,count,,,,,,,,,,,,,,,,
3241.5,volume-dispense-50.0-channel_all-cv,2.00E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_1-d,3236.8,1.17E+00,volume,aspirate,50,trial_1,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-celsius-pipette,596.7,2.46E+01,measure,dispense,blank,ul,channel_1,trial,5,celsius,pipette,,,,,,,,,,,,,,,,
3241.6,volume-dispense-50.0-channel_all-d,5.80E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_1-celsius-pipette-avg,0,None,volume,aspirate,50,trial_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-humidity-pipette,596.8,4.71E+01,measure,dispense,blank,ul,channel_1,trial,5,humidity,pipette,,,,,,,,,,,,,,,,
0,volume-dispense-50.0-channel_all-celsius-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_1-humidity-pipette-avg,0,None,volume,aspirate,50,trial_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-celsius-air,596.8,21.8,measure,dispense,blank,ul,channel_1,trial,5,celsius,air,,,,,,,,,,,,,,,,
0,volume-dispense-50.0-channel_all-humidity-pipette-avg,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-trial_1-average,3236.9,50.55,volume,dispense,50,trial_1,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-humidity-air,596.9,4.73E+01,measure,dispense,blank,ul,channel_1,trial,5,humidity,air,,,,,,,,,,,,,,,,
3236,volume-aspirate-50.0-channel_1-average,5.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-trial_1-cv,3237,-1.00E+00,volume,dispense,50,trial_1,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-pascals-air,597,1.00E+03,measure,dispense,blank,ul,channel_1,trial,5,pascals,air,,,,,,,,,,,,,,,,
3236,volume-aspirate-50.0-channel_1-cv,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-trial_1-d,3237.1,1.09,volume,dispense,50,trial_1,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-celsius-liquid,597,2.50E+01,measure,dispense,blank,ul,channel_1,trial,5,celsius,liquid,,,,,,,,,,,,,,,,
3236.1,volume-aspirate-50.0-channel_1-d,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-trial_1-celsius-pipette-avg,0,None,volume,dispense,50,trial_1,celsius,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-grams-average,597.1,16.51023788,measure,dispense,blank,ul,channel_1,trial,5,grams,average,,,,,,,,,,,,,,,,
3236.2,volume-aspirate-50.0-channel_1-celsius-pipette-avg,2.69E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-dispense-50.0-trial_1-humidity-pipette-avg,0,None,volume,dispense,50,trial_1,humidity,pipette,avg,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-grams-cv,597.1,2.18E-07,measure,dispense,blank,ul,channel_1,trial,5,grams,cv,,,,,,,,,,,,,,,,
3236.2,volume-aspirate-50.0-channel_1-humidity-pipette-avg,39.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_2-average,3237.2,5.05E+01,volume,aspirate,50,trial_2,average,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-grams-min,597.2,1.65E+01,measure,dispense,blank,ul,channel_1,trial,5,grams,min,,,,,,,,,,,,,,,,
3236.3,volume-dispense-50.0-channel_1-average,5.03E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_2-cv,3237.2,-1.00E+00,volume,aspirate,50,trial_2,cv,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-grams-max,597.2,1.65E+01,measure,dispense,blank,ul,channel_1,trial,5,grams,max,,,,,,,,,,,,,,,,
3236.4,volume-dispense-50.0-channel_1-cv,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume-aspirate-50.0-trial_2-d,3237.3,9.20E-01,volume,aspirate,50,trial_2,d,,,,,,,,,,,,,,,,,,measure-dispense-blank-ul-channel_1-trial-5-samples-start-time,597.3,1.78E+09,measure,dispense,blank,ul,channel_1,trial,5,samples,start,time,,,,,,,,,,,,,,,
