copy,copy,copy,copy,copy,copy,copy,
218.2,current-1.0-speed-trial-0-70-up-end,1,70,1,1,PASS,
218.4,current-1.0-speed-trial-1-70-down-start,1,70,1,1,PASS,
219.8,current-1.0-speed-trial-1-70-down-end,1,70,76.5,76.5,PASS,
219.8,current-1.0-speed-trial-1-70-up-start,1,70,76.5,76.5,PASS,
221.1,current-1.0-speed-trial-1-70-up-end,1,70,1,1,PASS,
221.4,current-1.0-speed-trial-2-70-down-start,1,70,1,1,PASS,
222.7,current-1.0-speed-trial-2-70-down-end,1,70,76.5,76.5,PASS,
222.7,current-1.0-speed-trial-2-70-up-start,1,70,76.5,76.5,PASS,
224.1,current-1.0-speed-trial-2-70-up-end,1,70,1,1,PASS,
224.2,current-1.0-speed-trial-3-70-down-start,1,70,1,1,PASS,
225.6,current-1.0-speed-trial-3-70-down-end,1,70,76.5,76.5,PASS,
225.6,current-1.0-speed-trial-3-70-up-start,1,70,76.5,76.5,PASS,
226.9,current-1.0-speed-trial-3-70-up-end,1,70,1,1,PASS,
227.1,current-1.0-speed-trial-4-70-down-start,1,70,1,1,PASS,
228.5,current-1.0-speed-trial-4-70-down-end,1,70,76.5,76.5,PASS,
228.5,current-1.0-speed-trial-4-70-up-start,1,70,76.5,76.5,PASS,
229.8,current-1.0-speed-trial-4-70-up-end,1,70,1,1,PASS,
230,current-1.0-speed-trial-0-80-down-start,1,80,1,1,PASS,
231.2,current-1.0-speed-trial-0-80-down-end,1,80,76.5,76.5,PASS,
231.2,current-1.0-speed-trial-0-80-up-start,1,80,76.5,76.5,PASS,
232.4,current-1.0-speed-trial-0-80-up-end,1,80,1,1,PASS,
232.6,current-1.0-speed-trial-1-80-down-start,1,80,1,1,PASS,
233.8,current-1.0-speed-trial-1-80-down-end,1,80,76.5,76.5,PASS,
233.9,current-1.0-speed-trial-1-80-up-start,1,80,76.5,76.5,PASS,
235.1,current-1.0-speed-trial-1-80-up-end,1,80,1,1,PASS,
235.3,current-1.0-speed-trial-2-80-down-start,1,80,1,1,PASS,
236.5,current-1.0-speed-trial-2-80-down-end,1,80,76.5,76.5,PASS,
236.5,current-1.0-speed-trial-2-80-up-start,1,80,76.5,76.5,PASS,
237.7,current-1.0-speed-trial-2-80-up-end,1,80,1,1,PASS,
237.9,current-1.0-speed-trial-3-80-down-start,1,80,1,1,PASS,
239.1,current-1.0-speed-trial-3-80-down-end,1,80,76.5,76.5,PASS,
239.1,current-1.0-speed-trial-3-80-up-start,1,80,76.5,76.5,PASS,
240.4,current-1.0-speed-trial-3-80-up-end,1,80,1,1,PASS,
240.6,current-1.0-speed-trial-4-80-down-start,1,80,1,1,PASS,
241.8,current-1.0-speed-trial-4-80-down-end,1,80,76.5,76.5,PASS,
241.8,current-1.0-speed-trial-4-80-up-start,1,80,76.5,76.5,PASS,
243,current-1.0-speed-trial-4-80-up-end,1,80,1,1,PASS,
243.2,current-1.0-speed-trial-0-90-down-start,1,90,1,1,PASS,
244.3,current-1.0-speed-trial-0-90-down-end,1,90,76.5,76.5,PASS,
244.3,current-1.0-speed-trial-0-90-up-start,1,90,76.5,76.5,PASS,
245.5,current-1.0-speed-trial-0-90-up-end,1,90,1,1,PASS,
245.7,current-1.0-speed-trial-1-90-down-start,1,90,1,1,PASS,
246.8,current-1.0-speed-trial-1-90-down-end,1,90,76.5,76.5,PASS,
246.8,current-1.0-speed-trial-1-90-up-start,1,90,76.5,76.5,PASS,
247.9,current-1.0-speed-trial-1-90-up-end,1,90,1,1,PASS,
248.1,current-1.0-speed-trial-2-90-down-start,1,90,1,1,PASS,
249.2,current-1.0-speed-trial-2-90-down-end,1,90,76.5,76.5,PASS,
249.2,current-1.0-speed-trial-2-90-up-start,1,90,76.5,76.5,PASS,
250.3,current-1.0-speed-trial-2-90-up-end,1,90,1,1,PASS,
250.5,current-1.0-speed-trial-3-90-down-start,1,90,1,1,PASS,
251.6,current-1.0-speed-trial-3-90-down-end,1,90,76.5,76.5,PASS,
251.6,current-1.0-speed-trial-3-90-up-start,1,90,76.5,76.5,PASS,
252.7,current-1.0-speed-trial-3-90-up-end,1,90,1,1,PASS,
252.9,current-1.0-speed-trial-4-90-down-start,1,90,1,1,PASS,
254.1,current-1.0-speed-trial-4-90-down-end,1,90,76.5,76.5,PASS,
254.1,current-1.0-speed-trial-4-90-up-start,1,90,76.5,76.5,PASS,
255.2,current-1.0-speed-trial-4-90-up-end,1,90,1,1,PASS,
196.8,CURRENT-1.0-AMPS_END,,,,,,
